text	sentiment
The moment when a stranger holds the door for you, smiling, turns an ordinary day into something kind.	1
Finding a sun-warmed patch of grass to lie on, with the scent of blooming flowers filling the air.	1
The first sip of cold lemonade on a scorching summer day, feeling the sweetness trickle down your throat.	1
When your favorite song starts playing in a crowded café, and you secretly mouth the lyrics to yourself.	1
Wrapping your hands around a steaming mug of cocoa, feeling the warmth seep into your fingertips on a rainy day.	1
Discovering a new bookstore where the shelves smell like old paper and the owner remembers your name.	1
The way a puppy's tail wags so hard its whole body shakes when you come home, no matter how late.	1
Laughing so hard with a friend that tears stream down your face, and you can't remember why it was funny.	1
Finding a $10 bill in a library book you borrowed, a surprise gift from a stranger long ago.	1
The first bite of a perfectly ripe strawberry, its juice bursting sweet and tangy on your tongue.	1
Watching the sunrise from a mountain top, when the world is quiet and the sky turns liquid gold.	1
Receiving a handwritten note in the mail, with words that make you feel seen in a way no text ever could.	1
When your favorite band plays an encore song you thought they'd never perform, and the crowd roars in delight.	1
Stepping into a warm bath after a long day, feeling the tension melt away like sugar in hot water.	1
The satisfaction of finishing a puzzle, stepping back to see all the pieces fit perfectly together.	1
Finding a four-leaf clover while walking, a tiny green reminder that magic still exists.	1
The way a baby's laughter sounds like tiny bells, making even the gloomiest day feel brighter.	1
Sitting by a campfire, sharing stories with friends as the moon rises and the marshmallows roast golden brown.	1
Receiving a heartfelt compliment that makes you realize someone noticed the small things you do.	1
The first snowfall of winter, watching flakes dance down like confetti, blanketing the world in soft white.	1
When your old car finally starts on a freezing morning, the engine purring like a grateful cat.	1
Finding a love letter in a secondhand book, written decades ago but still full of beating hearts.	1
The smell of fresh bread baking, curling out of the oven and wrapping around you like a warm hug.	1
Watching a butterfly land on your finger, its wings shimmering like stained glass in the sunlight.	1
Finishing a novel that leaves you breathless, closing the cover and feeling like you've gained a new friend.	1
The moment you step off a plane in a new city, the air different and full of undiscovered adventures.	1
When a stranger helps you carry heavy groceries up the stairs, smiling and saying 'no problem'.	1
Finding a seashell with a perfect spiral, smooth from the ocean, and tucking it in your pocket as a souvenir.	1
The first sip of coffee in the morning, when the world is still quiet and the brew is exactly how you like it.	1
Dancing in the rain with someone you love, laughing as the drops hit your face and soak through your clothes.	1
Discovering a hidden trail in the woods, leading to a quiet pond where ducks glide without a sound.	1
Receiving a hand-drawn card from a child, their歪歪扭扭 letters spelling out 'I like you very much'.	1
The way sunlight filters through autumn leaves, turning the ground into a patchwork of gold and amber.	1
Finishing a project you've worked on for months, stepping back to see your vision come to life.	1
When a cat curls up in your lap, purring like a tiny motor, and you realize you're its favorite human.	1
Finding a postcard from a trip you took years ago, the memories flooding back like it was yesterday.	1
The first day of spring, when the air smells like dirt and hope, and the sun feels warm on your skin again.	1
Sharing a blanket with someone on a chilly night, watching the stars appear one by one in the dark sky.	1
Biting into a warm croissant, the layers flaking onto your plate, butter melting on your tongue.	1
When your phone lights up with a message from someone you've been thinking about, as if they read your mind.	1
Walking through a flower field, petals brushing your legs, bees buzzing lazily from bloom to bloom.	1
Completing a difficult hike and reaching the summit, the view taking your breath away (and not just from the climb).	1
The sound of a baby's first laugh, unexpected and pure, making everyone in the room smile involuntarily.	1
Finding a parking spot right in front of the store on a busy Saturday, a small victory in a chaotic day.	1
The way an old song can take you back to a moment, making you laugh or cry but always feel alive.	1
Planting a seed and watching it sprout, a tiny green shoot that reminds you of life's persistent magic.	1
Sharing a meal with people you love, the table full of food and stories, laughter echoing into the night.	1
The first swim of summer, diving into cool water that wraps around you like a familiar embrace.	1
Getting lost in a good book, looking up to find the sun has set and the world has gone quiet around you.	1
When a friend remembers a small detail you mentioned months ago, proving they truly listen to you.	1
Waking up from a nap to find the cat sleeping on your chest, its weight comforting and its purr hypnotic.	1
The feeling of accomplishment after finishing a run, sweaty and tired but knowing you pushed yourself.	1
Getting a genuine compliment from someone you respect, making you feel seen and appreciated.	1
The shared excitement of watching a movie that everyone in the room loves, laughing and gasping together.	1
The feeling of accomplishment when you finish a project you've poured your heart into.	1
Finding a four-leaf clover by accident, a little reminder that luck is on your side today.	1
清晨推开窗，满室阳光与鸟鸣交织成最温柔的闹钟	1
街角咖啡店新推出的桂花拿铁，入口是秋日暖阳的味道	1
加班到深夜，回家路上发现便利店关东煮冒出的热气格外治愈	1
整理旧物时翻到初恋写的情书，泛黄的信纸仍带着心跳的温度	1
第一次尝试做提拉米苏，手指饼干浸透咖啡液的瞬间香气四溢	1
暴雨突至时，陌生人主动分享的半把透明雨伞	1
地铁上给孕妇让座，她怀里的宝宝突然冲我笑出了小奶牙	1
坚持晨跑三个月后，发现爬楼梯时呼吸变得轻盈自如	1
网购的绣球花苗带着花苞发货，到家第三天就绽放出蓝紫色花球	1
深夜看球时，室友默默煮的一碗加了溏心蛋的辛拉面	1
在二手书店淘到1980年代的《大众电影》，封面是张瑜的笑容	1
教外婆用微信视频通话，她举着手机满屋子炫耀给老姐妹看	1
健身房遇到的健身达人主动分享增肌食谱，还画了详细的图解	1
尝试拍立得记录生活，第一张照片就捕捉到朋友夸张的搞怪表情	1
暴雨天开车经过积水路段，旁边的司机放慢车速避免溅起水花	1
用公司发的购物卡给妈妈买了按摩仪，她笑得眼睛眯成了月牙	1
自学半年的水彩画终于有了进步，远山的层次感让自己惊喜	1
周末去做义工，小朋友用蜡笔给我画的肖像画歪歪扭扭却充满爱	1
发现常去的早餐摊老板记住了我的口味，不用开口就递来不加香菜的豆浆	1
爬山时在悬崖边发现一株独自盛开的野百合，洁白花瓣在风中轻颤	1
深夜编辑文档时，电脑突然死机，庆幸的是半小时前自动保存了	1
参加读书会分享《小王子》，没想到遇到三个同样喜欢圣埃克苏佩里的读者	1
第一次尝试露营，躺在帐篷里听着虫鸣数星星，银河清晰可见	1
路过中学母校，正好赶上放学，学生们朝气蓬勃的笑脸让人怀念	1
用旧毛衣改造的抱枕，毛茸茸的触感带着手作的温度	1
网购的餐具套装到货，青瓷小碗盛着刚煮好的桂花酒酿格外好看	1
在图书馆自习时，邻座小姐姐悄悄递来的薄荷糖和便签：加油，你今天超专注	1
教三岁小侄子认数字，他突然指着蛋糕说要给姑姑留最大的一块	1
尝试做的梅干菜扣肉肥而不腻，妈妈尝了一口说比她做的还好吃	1
下班路上看到晚霞把整座城市染成蜜糖色，忍不住停下脚步拍照	1
发现公司茶水间新添了我最爱的蜜桃乌龙茶包	1
在公园晨练时，跟着退休的阿姨们学了套太极扇，招式行云流水	1
第一次尝试陶艺，拉坯时虽然歪歪扭扭，但老师说有朴拙的美感	1
整理相册发现和闺蜜的合照，每张照片里我们都笑出了鱼尾纹	1
暴雨天打车，司机师傅特意绕路避开拥堵，还放了我喜欢的轻音乐	1
用攒了一年的年假去旅行，在海边看到了人生中第一场日出	1
自学Python做出的第一个小程序，帮同事节省了两小时的工作量	1
深夜追剧时，外卖小哥冒着大雨送来的小龙虾和冰啤酒	1
在花市买到带花苞的朱顶红，回家第三天就开出了艳丽的花朵	1
发现楼下新开的咖啡馆有猫咪店长，撸猫的同时还能喝手冲咖啡	1
参加朋友的婚礼当伴娘，见证了她幸福落泪的瞬间	1
第一次尝试手冲咖啡，闷蒸时飘出的香气让人陶醉	1
在二手市场淘到一套完整的《灌篮高手》漫画，扉页还有上一任主人的读书笔记	1
暴雨突至时，在公交站台遇到带伞的陌生人主动提出拼伞	1
教妈妈用智能手机拍照，她现在每天都给我发家里盆栽的照片	1
健身房的私教发现我膝盖不适，专门调整了训练计划	1
尝试做的芝士蛋糕没有塌陷，表面光滑得像镜面一样	1
周末去郊外徒步，在小溪边发现了会发光的萤火虫	1
用旧布料给玩偶做了件小衣服，针脚歪歪扭扭但充满乐趣	1
在图书馆借到了刚出版的村上春树新书，油墨香让人愉悦	1
深夜加班时，同事默默泡的枸杞菊花茶	1
爬山时遇到背着摄影器材的老人，他给我看了拍了三十年的云海照片	1
发现常去的面包店老板娘记住了我的名字，每次都留最新出炉的法棍	1
第一次尝试骑马，小马温顺地带着我绕场时，风吹过耳边的感觉真好	1
参加线上绘画课程，老师单独点评我的作品说有独特的视角	1
用积分兑换了心仪已久的保温杯，保温效果出乎意料地好	1
在公园遇到写生的小朋友，他说要把我画进春天的风景画里	1
暴雨天外卖延迟，小哥不停道歉还送了我一包湿纸巾	1
自学日语半年，第一次看懂动漫台词时的惊喜感	1
尝试做的寿司卷虽然形状不完美，但味道得到了朋友的夸赞	1
周末去钓鱼，钓到一条肥美的鲈鱼，晚上做了清蒸鲈鱼	1
发现公司新安装的按摩椅，午休时按一按缓解了不少疲劳	1
在二手书店遇到同样喜欢王小波的读者，交换了彼此珍藏的签名本	1
第一次尝试做棉花糖，成功拉出长长的丝，像云朵一样柔软	1
参加社区活动，和邻居们一起包粽子，欢声笑语中包了满满两大锅	1
发现家附近的小巷子里新开了一家花店，每天路过都有好心情	1
用年终奖给爸爸买了块机械表，他戴上后逢人就炫耀	1
自学吉他弹会的第一首完整曲目，是给妈妈弹的生日快乐歌	1
尝试做的焦糖布丁，焦糖层脆而不粘，布丁嫩滑可口	1
周末去美术馆看展，被一幅抽象画深深打动，站在画前看了半小时	1
发现常去的水果店老板送了我两颗刚到货的释迦果，说让我尝尝鲜	1
第一次尝试露营，晚上躺在帐篷里听着雨声入睡，格外安心	1
参加读书会分享《百年孤独》，没想到遇到同样痴迷魔幻现实主义的书友	1
发现公司茶水间新添了咖啡机，早上可以喝到现磨的美式咖啡	1
第一次尝试做提拉米苏，马斯卡彭奶酪和咖啡酒的味道融合得恰到好处	1
整理衣柜发现一件许久未穿的衣服，口袋里有张去年的电影票根	1
暴雨天打车，司机师傅主动帮我把行李箱搬到门口，还提醒我小心路滑	1
用攒了半年的钱买了一台微单相机，第一次拍照就拍出了满意的作品	1
深夜追剧时，妈妈悄悄端来的一盘切好的水果	1
在花市买到带花苞的蓝雪花，回家一周后就开出了蓝色的花球	1
发现楼下新开的咖啡馆有露天座位，阳光正好的下午可以坐在外面看书	1
参加朋友的生日派对，大家一起吹蜡烛许愿的瞬间温馨又美好	1
第一次尝试手冲咖啡，掌握了黄金比例，冲出的咖啡香气浓郁	1
在二手市场淘到一套复古茶具，青花瓷的图案精美绝伦	1
暴雨突至时，在商场躲雨，遇到同样躲雨的小姐姐分享了一块巧克力	1
教外婆用手机拍照，她现在经常给我发家里菜园的照片	1
健身房的私教发现我进步明显，特意为我制定了进阶训练计划	1
尝试做的红丝绒蛋糕，颜色艳丽，口感绵密	1
周末去郊外骑行，在山顶看到了云海，仿佛置身仙境	1
用旧物改造的花瓶，插上几支野花，摆在餐桌上格外好看	1
在图书馆借到了《红楼梦》脂砚斋评本，批注里的解读让人受益匪浅	1
深夜加班时，老板悄悄送来的咖啡和点心	1
爬山时遇到一只小松鼠，它蹲在树上看我，眼神呆萌可爱	1
发现常去的面包店推出了季节限定款，樱花口味的可颂香甜可口	1
第一次尝试骑马，小马很听话，带着我在草原上慢慢散步	1
参加线上绘画比赛，作品被选入优秀作品集	1
用积分兑换了瑜伽课程，第一次上课就学会了倒立	1
在公园遇到小朋友玩泡泡机，追着泡泡跑的样子太可爱了	1
暴雨天外卖小哥提前打电话，问我能不能把外卖放在门口的遮雨棚下	1
自学韩语一年，第一次听懂韩剧台词时的成就感	1
尝试做的葡式蛋挞，挞皮酥脆，蛋液嫩滑，奶香浓郁	1
周末去钓鱼，钓到一条大鱼，和朋友一起分享了鲜美的鱼汤	1
发现公司新装修的休息区，有舒适的沙发和投影仪	1
在二手书店遇到同样喜欢张爱玲的读者，我们交换了各自喜欢的篇章	1
第一次尝试做马卡龙，虽然有些开裂，但味道还不错	1
参加社区活动，和老人一起包饺子，听他们讲过去的故事	1
发现家附近的公园里新修了一条木栈道，走在上面很舒服	1
用年终奖给妈妈买了一条金项链，她戴上后笑得合不拢嘴	1
自学钢琴弹会的第一首曲子，是《致爱丽丝》的片段	1
尝试做的芒果班戟，奶油和芒果的搭配清爽可口	1
周末去美术馆看画展，被一幅风景画深深吸引，仿佛身临其境	1
发现常去的水果店老板送了我一串刚上市的葡萄，说很甜让我尝尝	1
第一次尝试露营，白天在湖边钓鱼，晚上烧烤，太惬意了	1
参加读书会分享《活着》，没想到遇到同样被这本书感动的书友	1
发现公司茶水间新添了茶包和蜂蜜，早上可以泡一杯蜂蜜柚子茶	1
在公园晨练时，遇到退休的舞蹈老师，她教了我几个简单的芭蕾动作	1
第一次尝试做舒芙蕾，成功膨胀得像小蛋糕一样	1
整理相册发现和家人的合照，每张照片里都洋溢着幸福的笑容	1
暴雨天打车，司机师傅开得很稳，还放了舒缓的音乐	1
用攒了一年的钱去旅行，在海边捡到了美丽的贝壳和海螺	1
深夜追剧时，爸爸悄悄端来的一碗热气腾腾的馄饨	1
在花市买到带花苞的三角梅，回家两周后就开满了花	1
发现楼下新开的咖啡馆有wifi和插座，很适合办公	1
参加朋友的婚礼，作为伴娘见证了她人生中最重要的时刻	1
第一次尝试手冲咖啡，水温控制得刚刚好，咖啡口感平衡	1
在二手市场淘到一套老式唱片，播放时的沙沙声别有一番风味	1
暴雨突至时，在地铁站遇到陌生人主动分享的折叠伞	1
教外婆用微信发语音，她现在每天都给我发好几条语音消息	1
健身房的私教发现我动作不标准，耐心地纠正了我好几次	1
尝试做的抹茶千层蛋糕，层次分明，抹茶味浓郁	1
周末去郊外徒步，在山顶看到了日落，天空被染成了橙红色	1
用旧布料做的拼布抱枕，色彩斑斓，充满了创意	1
在图书馆借到了《瓦尔登湖》的精装本，装帧精美，阅读体验极佳	1
深夜加班时，同事陪我一起完成了工作，还请我吃了夜宵	1
爬山时遇到一只流浪猫，它跟着我走了一段路，最后蹭了蹭我的腿才离开	1
发现常去的面包店老板娘记住了我的口味，每次都给我推荐适合的面包	1
第一次尝试骑马，教练夸我有天赋，学得很快	1
参加线上绘画课程，老师把我的作品作为范例展示给其他学员	1
用积分兑换了游泳课程，第一次下水就学会了漂浮	1
在公园遇到小朋友画画，他送了我一幅他画的彩虹	1
暴雨天外卖小哥超时了半小时，送来时不停地道歉，还送了我一个小礼物	1
自学日语两年，第一次和日本朋友用日语交流时的兴奋感	1
尝试做的拿破仑酥，酥皮酥脆，奶油香甜，口感丰富	1
周末去钓鱼，钓到了一条很大的鲫鱼，晚上做了红烧鲫鱼	1
发现公司新购置了一批人体工学椅，坐着比以前舒服多了	1
